Id,SalePrice
848,167524.25441696114
987,324322.4705882353
995,116688.94623655915
1430,163099.54269972452
1053,152962.34653465348
1197,187323.29842931937
816,133805.48920863308
967,133805.48920863308
287,123255.39800995025
988,167524.25441696114
769,363460.13513513515
966,123255.39800995025
827,195762.30084745763
392,121965.54626865672
1272,129285.08757637475
178,325151.64705882355
315,195762.30084745763
434,121965.54626865672
714,167524.25441696114
1386,246014.8987341772
587,124381.70207852194
1176,124381.70207852194
1134,167577.25561797753
773,124381.70207852194
448,152962.34653465348
247,160688.96594427244
1219,129285.08757637475
1109,270233.42727272725
790,187323.29842931937
865,133828.62717770034
498,123255.39800995025
155,123255.39800995025
344,121965.54626865672
1040,163099.54269972452
1201,200322.59523809524
1102,133805.48920863308
1282,133828.62717770034
493,133805.48920863308
107,116688.94623655915
695,133828.62717770034
529,172841.8962264151
842,133828.62717770034
225,121965.54626865672
299,124381.70207852194
1365,195762.30084745763
1023,195762.30084745763
1354,212959.28911564627
89,129285.08757637475
436,124381.70207852194
289,163661.02112676058
706,195762.30084745763
1378,129285.08757637475
309,325151.64705882355
950,119243.24293785311
349,346267.56043956045
968,116688.94623655915
217,116688.94623655915
1302,303416.3619047619
1024,346267.56043956045
1129,133805.48920863308
859,172841.8962264151
999,187323.29842931937
1137,116688.94623655915
579,160688.96594427244
639,259598.24137931035
898,346267.56043956045
1093,133805.48920863308
534,245629.34426229508
1018,195762.30084745763
1433,172841.8962264151
1205,246014.8987341772
294,171448.27415143602
1212,116688.94623655915
1111,220309.64423076922
49,129285.08757637475
936,187323.29842931937
219,187323.29842931937
421,171448.27415143602
945,164841.4814814815
208,246014.8987341772
162,195762.30084745763
256,173509.89342403627
262,133805.48920863308
524,246014.8987341772
670,163661.02112676058
124,167524.25441696114
1276,167524.25441696114
1359,325151.64705882355
248,195762.30084745763
351,195762.30084745763
698,123255.39800995025
1241,195762.30084745763
731,187323.29842931937
1162,124381.70207852194
901,133805.48920863308
390,135619.6
982,187323.29842931937
224,324322.4705882353
857,163661.02112676058
791,133828.62717770034
1110,167577.25561797753
1125,133828.62717770034
1007,121965.54626865672
319,187323.29842931937
218,220309.64423076922
779,133805.48920863308
1320,163661.02112676058
1419,172841.8962264151
48,152962.34653465348
729,119243.24293785311
1251,195762.30084745763
611,133828.62717770034
541,300154.8153846154
1400,123255.39800995025
1100,116688.94623655915
762,195762.30084745763
1309,133828.62717770034
1178,121965.54626865672
837,129285.08757637475
754,133828.62717770034
1375,254672.12931034484
442,163099.54269972452
909,163661.02112676058
540,309364.14285714284
228,124381.70207852194
27,300154.8153846154
836,163099.54269972452
137,220309.64423076922
1156,133828.62717770034
1147,187323.29842931937
1408,129285.08757637475
1035,121965.54626865672
1136,124381.70207852194
115,163661.02112676058
1152,167524.25441696114
1211,251496.05357142858
1000,124381.70207852194
1044,300154.8153846154
1454,187323.29842931937
750,116688.94623655915
512,124381.70207852194
959,195762.30084745763
479,124381.70207852194
971,195762.30084745763
451,187323.29842931937
615,133805.48920863308
807,164841.4814814815
1231,133828.62717770034
912,123255.39800995025
1243,325151.64705882355
821,133805.48920863308
163,123255.39800995025
383,124381.70207852194
422,133805.48920863308
620,116688.94623655915
200,133828.62717770034
278,303416.3619047619
1322,220309.64423076922
625,133828.62717770034
1235,160688.96594427244
592,124381.70207852194
327,167524.25441696114
711,116688.94623655915
495,116688.94623655915
682,133828.62717770034
863,133828.62717770034
15,187323.29842931937
1193,133828.62717770034
845,164841.4814814815
110,167524.25441696114
983,300154.8153846154
488,164841.4814814815
188,133828.62717770034
457,164841.4814814815
819,187323.29842931937
1246,195762.30084745763
1078,129285.08757637475
409,300154.8153846154
1369,245629.34426229508
515,325151.64705882355
545,246014.8987341772
1334,135729.8076923077
798,365708.61818181816
1311,187323.29842931937
127,116688.94623655915
939,246014.8987341772
683,270233.42727272725
728,163099.54269972452
743,152962.34653465348
596,152962.34653465348
875,296051.54822335026
794,220309.64423076922
679,133805.48920863308
586,123255.39800995025
1406,124381.70207852194
516,167524.25441696114
1452,129285.08757637475
118,246014.8987341772
172,200322.59523809524
74,160688.96594427244
926,324322.4705882353
395,133828.62717770034
537,124381.70207852194
499,124381.70207852194
334,172841.8962264151
658,163661.02112676058
605,220309.64423076922
46,246014.8987341772
1428,116688.94623655915
730,270233.42727272725
1439,191608.88648648647
332,259598.24137931035
1170,133805.48920863308
356,133828.62717770034
1223,164841.4814814815
1216,167524.25441696114
1200,123255.39800995025
